random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
3,eute,1,k,eute1k,14.11,13.7,,,,,,
4,eute,3,f,eute3f,12.81,12.99,,,,,,
5,eute,2,k,eute2k,19.14,20.89,,,,,,
6,eute,1,a,eute1a,18.25,25.49,,,,,,
7,eute,3,d,eute3d,11.6,12.3,,,,,,
8,eute,2,a,eute2a,12.08,12.74,,,,,,
9,eute,2,b,eute2b,11.91,11.41,,,,,,
10,eute,3,i,eute3i,14.01,13.14,,,,,,
11,eute,3,j,eute3j,19.63,29,,,,,,
12,eute,2,l,eute2l,17.11,22.42,,,,,,
13,eute,1,c,eute1c,18.41,23.98,,,,,,
14,eute,3,g,eute3g,13.8,12.36,,,,,,
15,eute,3,e,eute3e,12.43,12.6,,,,,,
16,eute,2,j,eute2j,10.35,9.31,,,,,,
17,eute,2,d,eute2d,11.3,9.84,,,,,,
18,eute,2,e,eute2e,13.95,13.07,,,,,,
19,eute,1,g,eute1g,16.81,22.83,,,,,,
20,eute,1,h,eute1h,12.64,12.74,,,,,,
21,eute,3,c,eute3c,12.29,10.95,,,,,,
22,eute,1,j,eute1j,13.55,14.72,,,,,,
23,eute,2,g,eute2g,12.17,12.3,,,,,,
24,eute,1,d,eute1d,18.95,25.66,,,,,,
25,eute,3,k,eute3k,18.94,26.64,,,,,,
26,eute,3,b,eute3b,12.3,12.52,,,,,,
27,eute,1,e,eute1e,18.29,22.03,,,,,,
28,eute,1,l,eute1l,14.42,17.02,,,,,,
29,eute,3,l,eute3l,15.86,20.07,,,,,,
30,eute,1,f,eute1f,18.64,26.08,,,,,,
31,eute,3,h,eute3h,12.23,15.23,10.29,8.38,4.58,2.15,,
32,eute,3,a,eute3a,14.42,15.87,13.01,11.98,6.35,0.95,,
33,eute,2,i,eute2i,10.13,7.8,,,,,3.45,
34,eute,2,h,eute2h,12.05,10.42,9.69,6.06,3.03,1.28,,
35,eute,1,i,eute1i,12.48,12.59,,,,,5.33,
36,eute,2,f,eute2f,12.76,11.87,,,,,5.21,
1,excu,1,f,excu1f,18.8,29.98,,,,,,
2,excu,2,i,excu2i,18.9,26.97,,,,,,
3,excu,2,j,excu2j,17.16,23.99,,,,,,
4,excu,3,g,excu3g,18.03,26.64,,,,,,
5,excu,1,a,excu1a,15.08,20.49,,,,,,
6,excu,3,f,excu3f,19.72,30.45,,,,,,
7,excu,1,d,excu1d,19.54,28.67,,,,,,
8,excu,1,g,excu1g,14.64,18.4,,,,,,
9,excu,2,l,excu2l,13.27,13.98,,,,,,
10,excu,3,j,excu3j,19.12,32.92,,,,,,
11,excu,1,b,excu1b,13.91,17.14,,,,,,
12,excu,3,a,excu3a,14.56,18.73,,,,,,
13,excu,2,f,excu2f,14.51,17.42,,,,,,
14,excu,2,k,excu2k,11.56,9.39,,,,,,
15,excu,2,d,excu2d,17.05,24.97,,,,,,
16,excu,1,h,excu1h,13.38,15.9,,,,,,
17,excu,3,k,excu3k,12.3,12.82,,,,,,
18,excu,3,c,excu3c,15.83,18.86,,,,,,
19,excu,3,e,excu3e,17.92,24.75,,,,,,
20,excu,3,i,excu3i,19.2,29.94,,,,,,
21,excu,1,e,excu1e,16.65,24.05,,,,,,
22,excu,3,d,excu3d,15.98,21.68,,,,,,
23,excu,2,b,excu2b,16.99,20.59,,,,,,
24,excu,1,i,excu1i,13.35,14.73,,,,,,
25,excu,2,h,excu2h,16.65,23.26,,,,,,
26,excu,2,c,excu2c,16.38,23,,,,,,
27,excu,1,c,excu1c,16.26,22.28,,,,,,
28,excu,1,k,excu1k,11.14,10.91,,,,,,
29,excu,3,h,excu3h,14.29,18.83,,,,,,
30,excu,2,e,excu2e,13.33,14.32,,,,,,
31,excu,2,a,excu2a,14.46,16.97,,,,,9.26,
32,excu,3,b,excu3b,15.45,21.77,14.17,14.76,9.06,2.34,,
33,excu,3,l,excu3l,13.35,14.22,,,,,7.65,
34,excu,1,j,excu1j,12.05,13.15,,,,,7.45,
35,excu,2,g,excu2g,17.5,20.03,13.84,12.78,8.17,2.79,,
36,excu,1,l,excu1l,11.02,11.1,9.6,6.92,4.59,1.71,,
1,hase,3,i,hase3i,16.2,19.28,,,,,,
2,hase,3,f,hase3f,19.91,28.6,,,,,,
3,hase,1,j,hase1j,19.29,27.98,,,,,,
4,hase,3,l,hase3l,10.45,8.57,,,,,,
5,hase,3,d,hase3d,19.13,29.35,,,,,,
6,hase,3,e,hase3e,20.1,29.82,,,,,,
7,hase,2,h,hase2h,15.63,18.53,,,,,,
8,hase,2,f,hase2f,15.36,17.9,,,,,,
9,hase,1,g,hase1g,17.47,20.99,,,,,,
10,hase,1,i,hase1i,19.01,24.85,,,,,,
11,hase,1,l,hase1l,19.42,26.81,,,,,,
12,hase,3,k,hase3k,11.72,11.78,,,,,,
13,hase,1,h,hase1h,19.31,24.31,,,,,,
14,hase,2,a,hase2a,15.04,16.99,,,,,,
15,hase,3,c,hase3c,18.36,27.33,,,,,,
16,hase,3,b,hase3b,19.32,28.13,,,,,,
17,hase,2,l,hase2l,18.3,23.73,,,,,,
18,hase,1,d,hase1d,12.55,12.3,,,,,,
19,hase,2,c,hase2c,12.39,11.55,,,,,,
20,hase,2,g,hase2g,14.63,14.74,,,,,,
21,hase,1,c,hase1c,19.71,23.61,,,,,,
22,hase,1,e,hase1e,14.23,14.82,,,,,,
23,hase,2,b,hase2b,13.31,13.35,,,,,,
24,hase,1,f,hase1f,15.85,19.38,,,,,,
25,hase,1,b,hase1b,14.39,16.09,,,,,,
